Status,Date,Title,Category,Start,End,Start24,Location,Host,RSVP,Capacity,Price,Series,Description,Cutoff,Marquee,Counted,Moved,Image,Slug
Live,2026-08-25,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-08-25,Book Club: Inaugural Meeting,Enrichment Experience,4:30 PM,6:00 PM,1630,"Level 39, Residents’ Club",Resident Experiences,Seat,,,Moves to last Wednesday monthly,"The first meeting of the 181 Fremont book club. We’re beginning with <em>London Falling: A Mysterious Death in a Gilded City and a Family’s Search for Truth</em> by Patrick Radden Keefe.

Please join us whether or not you’ve finished it. This first evening is as much about finding the group’s rhythm as it is about the book. Light bites and wine will be served.

From September we’ll settle into the last Wednesday of each month at 4:30.",,False,True,False,,book-club-inaugural
Live,2026-08-25,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-08-27,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-08-27,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-08-30,Sunday Brunch,Culinary Experience,10:00 AM,2:00 PM,1000,"Level 39, Residents’ Club",Resident Experiences,Seat,45,,Last Sunday of the month,"Brunch on Level 39, from 10:00 to 2:00. A wider window than before, so you can come when it suits you.

If noon to two has been your habit, that time is unchanged. We’ve simply opened the morning on either side of it.

Please RSVP so we can set the room properly.",,False,True,False,"linear-gradient(155deg,#8a6a34 0%,#c9a15c 48%,#efd9a8 100%)",sunday-brunch
Live,2026-09-01,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-09-01,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-09-02,Moss Wall Workshop,Enrichment Experience,6:00 PM,7:30 PM,1800,"Level 39, Residents’ Club",Resident Experiences,Seat,20,,,"An evening of hands-on botanical art. You’ll build a moss wall to take home, with every material provided and no experience needed.

Light bites and wine will be served throughout.","Monday, Aug 31",False,True,False,"linear-gradient(155deg,#2c3d2a 0%,#4e6b45 50%,#93b083 100%)",moss-wall-workshop
Live,2026-09-03,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-09-03,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-09-08,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
